,dialogue_id,turns,text,emotion,act
338,118,4,"When you are telling me about your journey, it sounds like you wasted five hours of your time, right?",no emotion,brief description of the semantics
339,119,1,right,no emotion,no action
340,119,2,What is your evaluation of yourself when you are talking about how you wasted these five hours?,no emotion,inquire
341,119,3,"Now when I go back and think about this incident, I feel that what I did for five hours was actually a waste of time.",no emotion,no action
342,119,4,kindness,no emotion,no action
343,119,5,"Even though it wasn’t actually very important, what I was doing at that time wasn’t very important either, but I just did it and wasted my time.",anger,no action
344,119,6,So would you criticize yourself for wasting five hours like this?,no emotion,inquire
345,120,1,"I feel very troubled because another day like this happens. In fact, usually when I encounter this kind of situation, because I am stressed later, in fact, I am not and will not do entertainment that really makes me completely relaxed.",no emotion,no action
346,120,2,"Well, I can't really relax",no emotion,brief description of the semantics
347,120,3,right,no emotion,no action
348,120,4,"I heard that now I find that your description of yourself seems to describe yourself as a person who has no direction, is not very active and does not work hard.",no emotion,no action
349,121,1,I think I am this kind of person,sad,no action
350,121,2,When did you start having such thoughts about yourself?,no emotion,inquire
351,121,3,I have always felt that I have been a stupid drinker since I was a child.,no emotion,no action
352,121,4,You mean elementary school?,no emotion,no action
353,122,1,I don’t have any impression. I am really serious in class. There is a cram school. Maybe I will be in the first row to chat with the teacher. But I feel that I am not serious in class since I was a child.,no emotion,no action
354,122,2,This will make you feel a little embarrassed or inferior. It seems that you have never taken it seriously.,no emotion,inquire/emotional reflection
355,122,3,My own thinking is that I am so bad anyway.,disgust/anger,no action
356,122,4,How do you feel when you say that I’m not bad anyway?,no emotion,inquire
357,125,1,"I feel like after saying this, I actually still feel in my heart that of course I can do it all, and of course it’s the best. But because I can’t do it, I feel like I’m a loser.",sad,no action
358,125,2,"Well, I don’t know, because I felt like when you said that I was so bad anyway, I felt a little uneasy.",no emotion,emotional reflection
359,125,3,"For me, I feel that I have been going through these things all the time, and I feel like I am a person who is just muddling through. That's how it is. Anyway, if I don't encounter any major setbacks, I just treat it as nothing. If I encounter it, I just muddle along and just treat it as a thing of the past.",fear,no action
360,125,4,What did the people around you think of you when you were growing up?,no emotion,inquire
361,126,1,"My family has nothing to do with my grades. Duan Kao will check it. Duan Kao will check it. So when I take Duan Kao, I will be very upset and say, ""I didn't do well in the exam this time. But usually it will be fine after I take a nap. Then I can do it next time."" Take it seriously again",no emotion,no action
362,126,2,So they are not very strict with your studies,no emotion,brief description of the semantics
363,126,3,Let’s take a look at the Duan Duan test and see why you didn’t do well this time.,no emotion,no action
364,126,4,But what if it’s a classmate or teacher from your school?,no emotion,no action
365,127,1,"Actually, I don’t care much about classmates or teachers at school. Anyway, if you don’t do well in the exam, you won’t do well in the exam. In fact, sometimes it’s quite contradictory that I don’t want my classmates to think that I am a bad person who doesn’t learn, have no skills, and doesn’t study. But, That’s the actual result and the face I can only hide from the outside world. That is to say, if I do so badly on the exam, there’s nothing I can do about it. I just don’t study. I’m a bad kid who doesn’t study. This is how to hide the fact that I didn’t do well.",disgust/sad,no action
366,127,2,"What do you mean? You mean you seem to be doing it because, yes, I just don’t study to cover up that you didn’t do a good job.",no emotion,no action
367,128,1,Feeling a little like this,no emotion,no action
368,128,2,"These two have different meanings. Obviously one is bad and I am not serious on purpose, nor is it true that I am serious but failed to do a good job.",no emotion,inquire
369,128,3,"I have this feeling, but actually I didn’t take it seriously at all when I went back to study it, haha",anger,no action
370,128,4,kindness,no emotion,no action
371,129,1,Then how can I have the nerve to cover myself up like this with a face that looks like I took it seriously and then failed?,anger,no action
372,129,2,"I feel like you have a lot of inconsistencies, that is, you are right, I am just bad, or I don’t study seriously, and then I don’t do a good job. But if you really think these things don’t matter, you won’t actually follow them. Have I studied to evaluate whether I am bad, good or bad?",no emotion,no action
373,130,1,"You said that actually I still care about this matter, so I just keep talking about it all day long.",surprise,no action
374,130,2,"I feel a little like this. You yourself think so. I feel like I told you that I don’t care. Forget it. Anyway, I will forget it after everything is over. But if you don’t do your job well, you will and you will have it again. A very negative evaluation to evaluate yourself.",no emotion,inquire
375,130,3,"Yeah, and I will remember it very clearly",no emotion,no action
376,130,4,"Why is there such a contradiction? You seem to care a lot, but you seem to have one who cares a lot and one who doesn't care. Or is it more like giving up on yourself if you don't care?",no emotion,inquire/emotional reflection
377,131,1,"I mean ""normal"" means that it won't affect my mood or my daily life, but I remember this incident very clearly.",no emotion,no action
378,131,2,You will be very clear when you do things that you have not done well. But why do you want to remember this matter so clearly?,no emotion,inquire
379,131,3,"I don’t know, I just feel a bit vindictive.",no emotion,no action
380,131,4,"To hold a grudge, you mean to hold a grudge.",no emotion,no action
381,132,1,"Yeah, that's right. I just remembered that I did some shit.",disgust,no action
382,132,2,"So it’s like a part of you says forget it, it doesn’t matter. I’ve grown up to this age, but a part of you seems to write down in a notebook all the things you haven’t done well since you were a child.",no emotion,no action
383,132,3,"If you have this kind of feeling, then your other self will feel that you remember it so clearly. You can disguise yourself as a person who just muddles through, and then live with the face of muddle through, which will be more comfortable.",sad,no action
384,132,4,A person who lives a muddle-headed life is more comfortable than anything else.,no emotion,inquire
385,133,1,"Compare it to what? No, I don’t compare myself to others.",no emotion,no action
386,133,2,Because you said it is more comfortable,no emotion,no action
387,133,3,It's relatively comfortable. I just feel that life is quite comfortable with this appearance.,no emotion,no action
388,133,4,So what would it be if we didn’t put on this face?,no emotion,inquire
389,134,1,"Actually, I don’t know. I don’t know what will happen either.",fear,no action
390,134,2,It seems that you are very accustomed to facing things that you have not done well with this attitude.,no emotion,brief description of the semantics
391,134,3,right,no emotion,no action
392,134,4,"Well, what we probably talked about today was a little bit about procrastination and a little bit about self-criticism.",no emotion,no action
393,134,5,right,no emotion,no action
394,134,6,What do you think,no emotion,inquire
395,135,1,"I feel like I'm spinning around in that conflicting situation, which seems to make it impossible to move forward.",no emotion,no action
396,135,2,What kind of progress do you mean?,no emotion,inquire
397,136,1,It’s just that I feel like there’s no way to follow this question in a very clear way.,no emotion,no action
398,136,2,"I have this feeling that we will be jumping around anyway, but there seems to be something that should always be answered, but it seems that it has never appeared. Then I feel like I want to figure out what is happening to you inside. That is, you criticize yourself again, but your criticism also includes it. Maybe I just don’t care about people like this. But if you don’t care, you basically won’t criticize yourself for these things. So I will stop here and include it. Are you a person who seriously cares about what I should do if you even delay this matter? And you mentioned before that you also care about other people's opinions. But when I was walking around and messing around, I really cared about other people's opinions. ?",no emotion,summary
399,137,1,"In fact, I care a lot about other people's opinions, but when others have already agreed on the appearance I put on, I will feel more comfortable. If he thinks that I am worse, I may not feel very comfortable psychologically. Sometimes I quarrel with others. I just feel like I'm bad, but I think I'm not as bad as he thinks, but it's all me thinking about it, and then I get emotional.",anger,no action
400,137,2,"I think we can discuss this next time: quarreling with others is because people’s opinions of you make you feel very angry. So today we will probably talk about some irrational and conflicting aspects within you and you are not sure where. I feel that one part of you will criticize yourself, but the other part of you will use your external behavior to explain yourself.",no emotion,summary
401,138,1,I have this feeling too,no emotion,no action
402,138,2,Then let's go here first today,no emotion,no action
403,139,1,Do you remember what we talked about last week?,no emotion,inquire
404,139,2,"Just talking about some procrastination, it seems that this matter has not been resolved yet. I don’t know what will happen... I don’t know.",no emotion,no action
405,139,3,"Because it seems that after the conversation, there was no mention of whether you thought your procrastination was unnecessary, and then it was immediately mentioned that you have some negative thoughts about yourself?",no emotion,inquire/summary
406,140,1,Seems,no emotion,no action
407,140,2,Um,no emotion,no action
408,140,3,right,no emotion,no action
409,140,4,What part do you think you would like to talk about today?,no emotion,inquire
410,140,5,"Then I can talk about it, that is, I have gone through the procrastination process again, and after this experience, I will find out that... when I am free, assuming that I have to report on Thursday, and then worship On Tuesday, you might want to say, there will be another one on Wednesday...",no emotion,no action
411,140,6,one day,no emotion,no action
412,141,1,"...I can also use that day to finish it, and then Wednesday will tell me that there is still time in the evening, so I will always imagine that there is still a free time for me to finish it...",no emotion,no action
413,141,2,"Oh, so your procrastination process is actually like this. When you get to the time when you should do something, you will... Well, you are using fantasy...",no emotion,brief description of the semantics
414,142,1,"Yes, I want to say that I still have time to finish it, so... Anyway, there is still time, so let’s not do things like this first. Then what happened to me in the end was that I was too tired on Wednesday night. Originally, I wanted to come back to work on Thursday morning, then sleep until morning, and then start working in the morning, until the moment before reporting.",no emotion,no action
415,142,2,You think this is a... you think it's a bad state,no emotion,no action
416,143,1,I feel like I wasted a lot of time,no emotion,no action
417,143,2,You just said that you fantasized about having time. Do you think it was an illusion to think that you had time at that time?,no emotion,inquire
418,143,3,"In fact, I may not be able to finish it in that time, but I am still used to it...I tend to think that it is okay to put things off until there, and then I will not do other things first.",no emotion,no action
419,143,4,So do you think you believed in yourself too much at that time?,no emotion,inquire
420,144,1,"In fact, at that time, I didn't quite believe in my idea. I was still... inclined to just do things when the time comes.",no emotion,no action
421,144,2,You said that actually at the moment you don't really believe that you really have time to finish it...,no emotion,brief description of the semantics
422,144,3,right,no emotion,no action
423,144,4,"If you look at it now, what do you think happened to you at that time? Why did you still make this decision even though you knew... he might not be able to finish it?",no emotion,inquire
424,145,1,"I feel a little bit resistant... Anyway, I can still do it at that time, so I will do it at that time... Whether I finish it or not depends on where I go... It feels like I can't finish it.",no emotion,no action
425,145,2,You mean you didn't want to think about this problem anymore at that time?,no emotion,brief description of the semantics
426,145,3,"Yes, anyway, I just wanted to capture something like... At one o'clock, I wanted to say... Go at twelve o'clock... At twelve o'clock in the evening, I wanted to say that I would go to bed if I didn't do it. I just wanted to say It seems okay to wait until two o'clock to do it... I don't know what time it will be...",no emotion,no action
427,145,4,"Then...and you went to rest afterwards, right?",no emotion,no action
428,146,1,"Yes, it was a different situation at that time...either oversleeping or falling asleep and doing it in the morning. The situation that day was that I really started doing it at two o'clock, but I also forgot what time it was...just doing it. When it comes to saying that I might not be able to get up tomorrow morning, then I will... sleep at this time, and then think about it when I get up early tomorrow morning.",no emotion,no action
429,146,2,Do you like this journey? No?,no emotion,inquire
430,147,1,I feel so tired when I wake up in the morning,no emotion,no action
431,147,2,"Do you think you really want to... do these things earlier? Because I feel like... it's not the day before, it's almost the moment before.",no emotion,inquire
432,147,3,Yeah...it's easy to feel like it's delayed until the moment before it actually happens.,no emotion,no action
433,147,4,"But as you told me last time, the most you could do was wait until the day before",no emotion,no action
434,148,1,"Oh, put it off until the day before. The situation of putting it off until the day before means that I really have... really work on it at two o'clock in the evening, then finish it, and then go to bed.",no emotion,no action
435,148,2,Um,no emotion,no action
436,148,3,"But sometimes I’m really too tired, so I think I’ll have to get up to go to class tomorrow morning, but I really can’t help it... I barely sleep to go to class, and then I’ll just sleep for two hours.",no emotion,no action
437,148,4,Um,no emotion,no action
438,149,1,"Now stop and do it for two hours, and then do it again after class",no emotion,no action
439,149,2,How much do you think you want to change this thing?,no emotion,inquire
440,149,3,I think I'm thinking...am I...am I actually accepting this situation in my heart? I'm just asking for it when I'm tired.,disgust,no action
441,149,4,Tiredness is self-inflicted... Do you think I would prefer to wait until the last minute to do it? Then the side effect of my choice is that I will be more tired.,no emotion,inquire/brief description of the semantics
442,150,1,right,no emotion,no action
443,150,2,do you think,no emotion,no action
444,150,3,"I think... I feel that at least at this stage, this approach has not encountered any particularly big problems for me.",no emotion,no action
445,150,4,Um,no emotion,no action
446,151,1,"But I'm a little afraid to say that if I really enter that kind of working hours later...that is, I finish things at work and then go home, I may not be able to do anything, or... those working hours are not as good as now. Since the research institute is so flexible, I am a little worried about whether I will encounter problems like this.",fear,no action
447,151,2,Future work...,no emotion,no action
448,151,3,"Yes, future work",no emotion,no action
449,151,4,What do you think? Based on what you know about yourself,no emotion,inquire
450,152,1,"I feel like I'll end up being late...and then I'll get a bad grade, and then I'll be kicked out.",fear,no action
451,152,2,"When you say late, do you mean late for results or...",no emotion,inquire
452,152,3,"All... As a result, I am late or do too much at night and can't get up in the morning, and then I can't catch up with school... If I can't catch up with work, I usually arrive at the company at eight or nine in the morning. The reason why I can afford my job in the research institute now is because I Usually arrive at school in the afternoon or noon",fear,no action
453,152,4,You are also worried about getting up early,no emotion,emotional reflection
454,153,1,right,no emotion,no action
455,153,2,Do you think you can't do it?,no emotion,inquire
456,153,3,Actually I'm a little scared,fear,no action
457,153,4,"Because you... Actually, you said that you procrastinate more and more, but you can always seize the last opportunity to complete it.",no emotion,no action
458,154,1,"It’s not necessarily completed, but it’s just... I haven’t encountered someone who said that when I really wanted to hand in the results, I couldn’t hand over anything, and then I was questioned and said that I had nothing... How could I be given two days of work? I haven't even typed the words like this",fear,no action
459,154,2,So you think... you're not sure whether you'll be able to catch it so well after you officially start working?,no emotion,brief description of the semantics
460,154,3,"Yes, because I feel like I've always wanted to change it since I was a child... that is, to get up at a normal time and then go to class and work, etc., but in the end I seemed to compromise.",no emotion,no action
461,154,4,Um,no emotion,no action
462,155,1,"It's just... I just couldn't help it, so I compromised. When I was taking courses in college... I wanted to get up to go to class, but I couldn't get up, so I didn't go to that class.",no emotion,no action
463,155,2,Did you often skip classes in college because you overslept?,no emotion,inquire
464,155,3,"Or even just don’t go to class, and then take the midterm and final exams, as long as you can pass them anyway",no emotion,no action
465,155,4,Um,no emotion,no action
466,156,1,"But... the consequence of this is that my grades are actually not very good, I just have average grades.",no emotion,no action
467,156,2,Are you really dissatisfied with your results? But...,no emotion,inquire
468,157,1,"It's just... I feel like I compromised when I didn't go to class, and when I finally saw the results, I didn't regret it... I just compromised at that time... I can understand that when I see such results, At least not taken for granted",no emotion,no action
469,157,2,"It seems that you hope that you can perform better, but...performing better requires some sacrifices.",no emotion,no action
470,158,1,right,no emotion,no action
471,158,2,I feel...,no emotion,no action
472,158,3,"I just can't sacrifice and compromise, and then I don't get such a good performance in the end... I'm mentally prepared, and then I just accept this situation, which is a bit messed up.",no emotion,no action
473,158,4,"It feels like you actually accept who you are, but you're a little confused... Am I right to just accept that I'm not that good?",no emotion,emotional reflection/brief description of the semantics
474,159,1,"Yes, I feel that way... But this thing seems to be something that others can't comment on, so... I just talked about it last time... Is it a little bit... that when I talk about these things like this? Moaning like this for no reason",no emotion,no action
475,159,2,"Are you moaning for no reason... I think you are more like... Do you want to rethink... what do you want yourself to be like, because in the past you actually accepted that you were not very good like this, but in fact these things It will be done, and it won’t be too bad, neither good nor bad. Do you think this is a moderate feeling?",no emotion,inquire
476,160,1,"Yes, it feels very average.",no emotion,no action
477,160,2,"Then you actually have always accepted that this is how you are, and it doesn’t matter.",no emotion,no action
478,160,3,right,no emotion,no action
479,160,4,Then why are you questioning your own values ​​now?,no emotion,inquire
480,161,1,"That is to say, although the final result of the matter...maybe some pain and discomfort at the time, the result will be later...ah, forget it, just compromise, the matter will be over like this, but because...recently, because it is... Present progressive tense, it's easy to not sleep well every day, it's easy to be in... It's easy to... not get enough sleep and then feel very unhappy, that is, why don't you spend more time doing things so that you don't oversleep... It's not sleep That's overdoing it...that's why if you don't spend a little more time doing things, it won't be so painful.",anger,no action
481,161,2,Um,no emotion,no action
482,162,1,"Every time I have to finish something, it's very painful, and then I'm a little scared... Is this job going to be... life can't be as smooth as it has always been for me?",fear,no action
483,162,2,"It seems that you have always been accustomed to not being so active. You don't have to live a bad life, but you don't have to have such an active lifestyle. But recently, you have been questioning... is it too inactive to be less active?",no emotion,brief description of the semantics
484,162,3,right,no emotion,no action
485,162,4,"In addition to not getting enough sleep, what other influences make you feel that your motivation level is too low?",no emotion,inquire
486,163,1,"In fact, every time I submit a report... As I mentioned last time, every time I submit a report, I actually... It's a bit of a pity... there seems to be a lot of things that I can do more, but unfinished",disgust,no action
487,163,2,"I'm trying to say, do you really hope you can do better?",no emotion,inquire
488,163,3,Want to do better?,no emotion,no action
489,163,4,"Because what you said seems to be that every time the results come out, you feel that... it can be better, but...",no emotion,no action
490,164,1,"In my heart, I want to say... Of course I want to say that I will do better. For example, I am writing a thesis recently... I want to write a thesis... but the research progress has actually been accumulated, and I can actually start writing. But until now, I Not a word has been moved yet",no emotion,no action
491,164,2,Um,no emotion,no action
492,165,1,"It's... I imagined it of course... The best thing is that when I have free time, I just use it to write papers and do work, but when it comes to it, I just want to say I'm so tired... forget it.",no emotion,no action
493,165,2,"It seems that there is a different voice inside... There is a voice that seems to be a very positive person. It should say, I have to start working on my thesis three days in advance or now or something... But reply To be closer to your state... Your state is actually more like, you don’t need to be so early, I can finish this thing in one day. Although I don’t do it particularly well, it’s okay even if I don’t do it very well.",no emotion,no action
494,166,1,"Yes, we will encounter this situation. That is to say, there is a range. Of course, getting 100 points is the best. Then I want to say that if I finish it in one day, it seems that I can get 60 or 70 points, but it doesn’t seem to be the case. No, then keep dragging it on like this",no emotion,no action
495,166,2,"So every time you do sixty or seventy, you actually accept it, but occasionally you think about it... Do I want to do eighty?",no emotion,no action
496,166,3,But it’s really pointless to moan like this.,no emotion,no action
497,166,4,How to say,no emotion,inquire
498,167,1,It’s just that I actually feel like I’ve accepted this situation.,no emotion,no action
499,167,2,"Your acceptance means that in fact, I really don’t want to put in so much effort or make so many changes to get that eighty",no emotion,no action
500,167,3,I don't quite understand what this means,no emotion,no action
501,167,4,It's the one you're referring to. I accept this situation.,no emotion,no action
502,167,5,"That is to say, a situation that can be accepted by those in their sixties or seventies.",no emotion,no action
503,167,6,So what makes you... feel like six or seven points is not a good thing?,no emotion,inquire
504,168,1,"If you talk about it in terms of taking courses, you will be disappointed. I still think that students’ duty is to study, so they still have to do better in the exam, even though they just pass every time, and from a work perspective In other words... I certainly hope that I can do more things by myself, and I also want to do this job well, but in the end, it doesn't seem to be particularly sad just to give a roughly usable result... That's not what I'm saying. .. Even if you don’t let yourself be frustrated, you will feel that this result is a worthy result.",no emotion,no action
505,168,2,"There are... important people around you, such as your parents, and friends who you think you care more about what they think of you. What do they think of you... maybe from your previous studies to your current studies? degree of performance or effort",no emotion,inquire
506,169,1,"The level of effort... Friends around me may think that I have handed over so many things anyway, that is, my classmates in the laboratory. Anyway, I have handed over so many things. How did I use the time? They don't seem to know. Particularly concerned about this",no emotion,no action
507,169,2,Um,no emotion,no action
508,169,3,Because maybe in fact the results I gave are still useful and help the whole work continue.,no emotion,no action
509,169,4,"Do your friends see you as a serious, ordinary person, or...",no emotion,inquire
510,170,1,"Serious people... shouldn't think that I am such a person, right?",no emotion,no action
511,170,2,Just so-so,no emotion,brief description of the semantics
512,170,3,"Yes, because the friends around me, whom I often come into contact with now, are basically classmates in the laboratory, and to them they may feel... basically every report I give has certain results.",no emotion,no action
513,170,4,Um,no emotion,no action
514,171,1,So they actually didn’t particularly think that I was just showing off like this.,no emotion,no action
515,171,2,It's... within the qualifying standards,no emotion,no action
516,171,3,right,no emotion,no action
517,171,4,It doesn’t feel like you deliberately made something that was rushed out at the last moment.,no emotion,brief description of the semantics
518,172,1,"That's right. I feel like that's what they think. But I think it's a bit temporary, because that's the job I'm mainly responsible for and I know these things better.",no emotion,no action
519,172,2,"It means that you know in your heart that you can actually do better, but others will not find out.",no emotion,no action
520,172,3,"Others may not particularly care. As long as the results have been produced and the work continues, they won’t particularly care about why I do so little. Maybe they don’t know how long it will take to do this.",no emotion,no action
521,172,4,Then your parents,no emotion,inquire
522,173,1,"My parents? In fact, I feel that I am not serious... I think that since I was a child, I feel that my parents are very serious in doing things, and I feel that they are much worse than me.",no emotion,no action
523,173,2,Would you like to describe your parents? What parts of them make you think they are serious about their work?,no emotion,inquire
524,173,3,"Basically, dad can still take his work home to do, but he usually goes to work, so he basically spends his free time sitting in front of the computer.",no emotion,no action
525,173,4,So it feels like he’s still at work after get off work,no emotion,brief description of the semantics
526,174,1,"Even on the 6th, he was at work. He is a university teacher. He studies endlessly and is doing research all the time.",no emotion,no action
527,174,2,"All the time, including coming home from get off work...",no emotion,no action
528,174,3,It feels very similar to the professors I know. They just feel like they are just doing research when they have free time.,no emotion,no action
529,174,4,So it feels like his life’s passion is devoted to research.,no emotion,brief description of the semantics
530,174,5,A bit like,no emotion,no action
531,174,6,Do you like his lifestyle?,no emotion,inquire
532,175,1,"I respect it, but I don't like it",no emotion,no action
533,175,2,"Yes, because I saw that you seemed to be talking about your parents... When you talked about your dad's lifestyle, your expression seemed to be... very powerful towards him, but I don't think it was an appreciative expression.",no emotion,emotional reflection
534,175,3,"Yes, I respect them very much for their work... their own work... and their enthusiasm can be like those professors I know. I just use it to do things whenever I have time.",no emotion,no action
535,175,4,So your mother too?,no emotion,inquire
536,175,5,My mother doesn't think so,no emotion,no action
537,175,6,Thinking of your mother's expression changes again...,no emotion,emotional reflection
538,176,1,"Because he is considered a housewife, he does not have a main goal to do things. He may mainly be doing housework or some trivial matters.",no emotion,no action
539,176,2,Then what you see is how involved your mother is in what he wants to do... because you just said that your parents... think they are very serious.,no emotion,no action
540,176,3,The main person I respect the most is my dad. I think he is really... basically the same as the professors I know. Every professor is so serious... My mother may... I also think he is just more serious than me. so,no emotion,no action
541,176,4,More serious than you?,no emotion,no action
542,177,1,right,no emotion,no action
543,177,2,"When you talk about your father and the professor you know, you look very surprised, but I don't want to...",no emotion,emotional reflection
544,177,3,I just feel like what they said... I feel like the characters that appear in the story are focused on doing one thing. It feels like I can't do this.,fear,no action
545,177,4,What makes you think you wouldn't choose such a life?,no emotion,inquire
546,178,1,"I feel like my personality is very easy to give up halfway, maybe... It should be like three minutes of enthusiasm. When I want to do something, I may be very serious, but then I lose the enthusiasm after doing it.",fear,no action
547,178,2,Do you think you are a three-minute hot person?,no emotion,brief description of the semantics
548,178,3,"Yes, in many things",no emotion,no action
549,178,4,You replied very quickly,no emotion,no action
550,178,5,Because there are really too many things that... you really have to focus on at the beginning and then give up later.,no emotion,no action
551,178,6,"But I have always had a sense of contradiction, that is, you talk about yourself very carelessly and casually, but you still study all the way to a graduate school in a national school... This is the sense of contradiction I am talking about... Are you really as careless as you say? Or maybe it comes from comparing...for example, your father",no emotion,inquire
552,179,1,"I am a peer with my classmates, and compared with my peers from beginning to end, that is to say, maybe my attitude towards doing things may be really... Maybe I can only say that it may be that certain... In some places, maybe to make up for this I’m not serious. I might be struggling with my reading... In some places, I might read it systematically in a short period of time in order to read it systematically. I might still read certain things. I might be like this sometimes. I think, but if you read things systematically, you may only be able to read at a passable level. Although... I can still read this far, but basically... my grades along the way are actually not very good.",fear/sad,no action
553,179,2,"The contradiction I have is... you still have read this, but what do you mean by not reading it well?",no emotion,inquire
554,180,1,"Basically, from before to now, my grades among my peers have always been below the middle.",no emotion,no action
555,180,2,But this means... So your previous peers were actually all excellent?,no emotion,inquire
556,180,3,"But...based on the results, I actually think it's amazing sometimes when I read it all the way. Maybe everyone's choice is different, so I can say that I can read it up to this point. I don't know how I read it. Arrived",surprise,no action
557,180,4,"And then you also feel that compared to other students in the lab, they are more serious... just around you...",no emotion,no action
558,180,5,Have you ever met people who are less serious than me?,no emotion,no action
559,180,6,What do you think when you see someone who is less serious than you?,no emotion,inquire
560,181,1,"In fact, I feel a little... unbalanced, that is to say, I do so many things every day, and then I may feel that he seems... so unserious that he can still produce something, so I think sometimes we are afraid to say My classmates think the same way, so I think about others like this. Sometimes I find that they are less serious than me... and I myself feel a little unbalanced. Then I think about what my classmates see. Could it be that when I'm so careless... he also feels unbalanced?",fear/anger,no action
561,181,2,"You also choose the lifestyle you want. In fact, when you look at your father, you choose I don’t want to live like that, but when you choose this lifestyle, you also feel... and you will be a little criticized. Ask yourself if this would be bad, and then you also think...what do my classmates think of me...especially when you see the classmate who is less serious than you, you will feel unfair, why can you be like this? ...relax?",no emotion,emotional reflection/brief description of the semantics
562,182,1,"Well, it’s hard to say. This is a research thing and it’s the boss’s choice.",no emotion,no action
563,182,2,"Yes, and then you will also wonder if I am also like this in the eyes of my peers.",no emotion,brief description of the semantics
564,182,3,"Yes, sometimes I think so",no emotion,no action
565,182,4,"I feel like you have already made up your mind in some part, and you actually know exactly what kind of life you want to live, but you occasionally care about what others think... and you are a little bit unsure whether the way you are now is what you want. way, how long can I continue to live this way? Will I actually need to change one day or should I change now?",no emotion,brief description of the semantics/summary
566,183,1,"Yes, because actually it means that when I talk to my classmates... when we communicate, it is actually normal. We don't show these things. But when I see him being so serious, I actually avoid myself when talking. I don’t talk about the things I didn’t do. I don’t dare to talk about the past because I’m afraid that when I actually talk about doing these things, my classmates will think about me just like me compared to my less serious classmates. It’s like showing your thoughts like this",fear,no action
567,183,2,"Okay, I was thinking that we have about the same time today, but I think what we talked about in the end was...your comments...what do you think about yourself, and sometimes you also evaluate how others think about you, Then it seems that what you mentioned at the end is that you occasionally package it a little or don't let others discover this part of yourself, but you actually have a bottom line in your heart. Although no one has discovered it, I also know that I am not a hard-working or hard-working person. A person who is active or devoted to research",no emotion,summary
568,183,3,right,no emotion,no action
569,183,4,"Then let’s continue talking next time, that’s it for today",no emotion,no action
570,184,1,"We talked last week about whether you want to change your current situation, and when it comes to your family members, your dad is a very serious and positive person. Even when you look at him, you find that That's not the life I want",no emotion,summary
571,184,2,right,no emotion,no action
572,184,3,"But when you come back to face your peers, you seem to be a little hesitant.",no emotion,no action
573,185,1,"Yes, because my peers feel like they are being chased away by things... It's not that... it's just that they really spend most of their time fetching, doing work, etc.",no emotion,no action
574,185,2,"But your dad is like this too. Why do you face your dad and you can clearly say I don’t want to live this life, but when you see your peers living like this, you will feel...",no emotion,inquire
575,186,1,"Because the starting point of peers is relatively close, that is, we are all classmates, and then it will be more obvious to compare that he is more serious about doing things, and then I feel that he is not so serious.",no emotion,no action
576,186,2,what does it mean,no emotion,inquire
577,187,1,"It's the kind of professor my father is... At that stage, I might regard it as saying that they are already considered successful people... If they are not successful people, it means that they are better than me, so they can reach that status, and then Use... is to live by what they have been working hard for. And my classmates' words mean that if we are in the same position now, we will compare, which means that I am not doing that well, and my classmates should not take it seriously. Maybe there are people who are less serious about their work than me, and I actually feel a little bit more inwardly about it, but this seems a bit disrespectful to others.",no emotion,no action
578,187,2,Not very respectful to others?,no emotion,inquire
579,188,1,I'm comparing it to this in my mind,no emotion,no action
580,188,2,Why does this particularly make you feel that you don’t respect others? Do you mean that you don’t respect other people’s lifestyles?,no emotion,inquire
581,188,3,"That is to say, actually... I know how to compare mentally, that is, to compare the person who is less serious than me, he is less serious than me; the person who is more serious than me, he is more serious than me, this is not good in my heart. ..Go and compare them?",no emotion,no action
582,188,4,Do you think that ranking others in your mind and making this evaluation is a disrespectful behavior?,no emotion,brief description of the semantics
583,188,5,Yep,no emotion,no action
584,188,6,But you can't seem to help it,no emotion,no action
585,189,1,"Sometimes I think like this, but after thinking about it, I feel... it’s better not to say it, don’t let others know, in fact, I seem to be comparing myself to them.",no emotion,no action
586,189,2,"I have a feeling that your... you often say it doesn't matter, that's okay, you accept it... that is, you often accept this state by yourself, but you pay special attention to it even when you look at others. When it comes to the level of effort, concentration, and investment, I wonder whether you care or not? Do you actually care but because you don’t want to do more, do you tell yourself you don’t care?",no emotion,inquire
587,190,1,I think it's a bit close to this situation,no emotion,no action
588,190,2,"So there is a part of you that cares about, and what exactly is it that you care about...",no emotion,inquire/emotional reflection
589,190,3,"If you care, you will care first, but if you can't do it, you really can't do it, and then it becomes just like this.",sad,no action
590,190,4,What do you care about is that you hope that you are also a hard-working person?,no emotion,inquire
591,190,5,"Of course, I hope that if I say... just spend more time doing things, I will finish them earlier, and then I can rest more.",no emotion,no action
592,190,6,"But part of you might think that I also have a break now, but the break time is in the front instead of the back.",no emotion,no action
593,191,1,"Sometimes I feel like this, but it turns into saying that I become very tired when I do things.",no emotion,no action
594,191,2,Getting very tired?,no emotion,emotional reflection
595,191,3,"Yes, because I use the time when I shouldn’t be doing things and the time when I am more tired to do things.",disgust,no action
596,191,4,"I kind of want to know that when you shouldn't do things or when you should be more serious and work harder, is it really your idea, or is it an idea that others gave you when you were growing up, but you didn't really accept it?",no emotion,inquire
